Review,Date,page_number
Good product,19 January 2025,6
Battery drained veryfast,1 July 2025,7
The  location and  camera  access  not supporting this mobile,3 January 2025,7
This is best mobile value for money camara is best quality performance is excellent 👌👌👌👌👌,6 October 2024,7
Sound quality is bad.,30 May 2025,7
Perfect,10 November 2024,7
Consider this as an Honest review since iam using it for 6months ...As a user I loved moto mobiles even my family uses...it generates very high heat ( if u do even avarage task at background) mobile gets very slow while heated.display yeah at this price decent.battery drains...if u have 18k or 19k go with other mobiles...I'm writing this review bcz I am exchanging moto with Samsung A55 only bcz of poor performance...hope it might help you..,26 May 2025,7
Very good product in this price range..also camera is very good,6 September 2024,7
"Very bad experience and also better back up is not good, please never buy this is . it's my opinion",21 March 2025,7
This mobile is very very fast process  battery backup is very effective  camera is good picture quality  i lve it this mobile,7 August 2025,7
Everything is good about the phone but the worst part is green line coming on screen .Once it happens all the positive points fade away and this becomes the maine negative point.,7 August 2025,7
Phone is getting ON and OFF without switching ON,16 January 2025,8
Yah parcel mere ko chahie aap is parcel ko cancel mat kijiye kyunki mere ko achcha Laga Hai yah phone,17 July 2025,8
Bad camera and mobile is not giving the premium look while holding in hand. Poor very poor camera.,11 November 2024,8
Product is good but my phone is not exchange I cancelled this product please refund my moneyThank you amazone,16 March 2025,8
I got this phone yesterday on 18th August. It is not supporting my Jio number. This number works on other phones. I have to visit a service centre to replace the phone. Horrible experience.,19 August 2024,8
Motorola edge g85 not 🚫 good warking not good hang this phone,9 October 2024,8
Please don’t buy this phone worst performance hanging continuously,29 October 2024,8
Not good,29 November 2024,8
"Awesome phone in this budget , must but this phone, camera is up to mark , battery backup long lasting",15 June 2025,8
Why did you pick this product vs others?:Previously Motorola was good I used toCamera quality:Camera quality show 50mp but actually is 8mpCharging speed:Not fast chargedHeating issue:When it’s goes up to 70% chargingPhone quality:Good,10 July 2025,8
"Don't buy this phone I'm. Internal problems keep coming up. Sometimes it hangs, sometimes the network goes down and many more.",6 July 2025,9
"भूलकर भी इस फोन को नही खरीदेंगे,अगर खरीदोंगे तो बहुत पछताएंगे,मैने खरीदा है मुझे डेड फोन दिया है,और ना ही रेप्लेसमेंट दे रहे है,और ना ही रिटर्न ले रहे है,मै कंस्यूमर कोर्ट में केस कर रहा हु।",5 June 2025,9
Waste this phone issues charge problem speaker problem so many people suffering this issues my phone send back to repair,12 June 2025,9
This product is very late  and price big and this mobile losser and this company is very no useful yor understand,21 March 2025,9
"Thin and light weight, easy to hold in hand, Good lookingFast speed, Crisp clear photosGood cameraCharging fastBattery lasts a dayCall sound quality good",28 October 2024,9
"eSim not support, network speed test not given , camera average, battery average,4k not support fingerprint ok, range average thanks",1 December 2024,9
Good item,31 July 2025,9
Average performance,11 February 2025,9
Very nice phone ☺️👍🏻👍🏻THANK YOUU AMAZONTHANK YOU MOTOO👍🏻❤️,13 March 2025,9
The media could not be loaded.मुझे प्रोडक्ट बहुत पसंद आया थैंक यू अमेजॉन,3 June 2025,9
This is a good phone. It's fast and the display has very rich colors. And so cheap. I highly recommend,6 July 2025,10
It's very nice phone hi love,5 May 2025,10
"Excellent phone, way better than the model made for Canada.",27 June 2025,10
Very good value at this price point.  Excellent display and especially like how light it feels in your hands.,17 June 2025,10
